,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
9564,9622,1096,817,1,3,10,1:25.766,1:25.068,1:25.045
9565,9623,1096,4,214,14,11,1:25.782,1:25.096,\N
9566,9624,1096,852,213,22,12,1:25.630,1:25.219,\N
9567,9625,1096,854,210,47,13,1:25.711,1:25.225,\N
9568,9626,1096,840,117,18,14,1:25.741,1:25.359,\N
9569,9627,1096,855,51,24,15,1:25.594,1:25.408,\N
9570,9628,1096,825,210,20,16,1:25.834,\N,\N
9571,9629,1096,842,213,10,17,1:25.859,\N,\N
9572,9630,1096,822,51,77,18,1:25.892,\N,\N
9573,9631,1096,848,3,23,19,1:26.028,\N,\N
9574,9632,1096,849,3,6,20,1:26.054,\N,\N
9575,9633,1098,830,9,1,1,1:31.295,1:30.503,1:29.708
9576,9634,1098,815,9,11,2,1:31.479,1:30.746,1:29.846
9577,9635,1098,844,6,16,3,1:31.094,1:30.282,1:30.000
9578,9636,1098,832,6,55,4,1:30.993,1:30.515,1:30.154
9579,9637,1098,4,117,14,5,1:31.158,1:30.645,1:30.336
9580,9638,1098,847,131,63,6,1:31.057,1:30.507,1:30.340
9581,9639,1098,1,131,44,7,1:31.543,1:30.513,1:30.384
9582,9640,1098,840,117,18,8,1:31.184,1:31.127,1:30.836
9583,9641,1098,839,214,31,9,1:31.508,1:30.914,1:30.984
9584,9642,1098,807,210,27,10,1:31.204,1:30.809,\N
9585,9643,1098,846,1,4,11,1:31.652,1:31.381,\N
9586,9644,1098,822,51,77,12,1:31.504,1:31.443,\N
9587,9645,1098,855,51,24,13,1:31.615,1:31.473,\N
9588,9646,1098,852,213,22,14,1:31.400,1:32.510,\N
9589,9647,1098,848,3,23,15,1:31.461,\N,\N
9590,9648,1098,858,3,2,16,1:31.652,\N,\N
9591,9649,1098,825,210,20,17,1:31.892,\N,\N
9592,9650,1098,857,1,81,18,1:32.101,\N,\N
9593,9651,1098,856,213,21,19,1:32.121,\N,\N
9594,9652,1098,842,214,10,20,1:32.181,\N,\N
9595,9653,1099,815,9,11,1,1:29.244,1:28.635,1:28.265
9596,9654,1099,844,6,16,2,1:29.376,1:28.903,1:28.420
9597,9655,1099,4,117,14,3,1:29.298,1:28.757,1:28.730
9598,9656,1099,847,131,63,4,1:29.592,1:29.132,1:28.857
9599,9657,1099,832,6,55,5,1:29.411,1:28.957,1:28.931
9600,9658,1099,840,117,18,6,1:29.335,1:28.962,1:28.945
9601,9659,1099,839,214,31,7,1:29.707,1:29.255,1:29.078
9602,9660,1099,1,131,44,8,1:29.689,1:29.374,1:29.223
9603,9661,1099,857,1,81,9,1:29.706,1:29.378,1:29.243
9604,9662,1099,842,214,10,10,1:29.890,1:29.411,1:29.357
9605,9663,1099,807,210,27,11,1:29.547,1:29.451,
9606,9664,1099,855,51,24,12,1:29.654,1:29.461,
9607,9665,1099,825,210,20,13,1:29.744,1:29.634,
9608,9666,1099,822,51,77,14,1:29.929,1:29.668,
9609,9667,1099,830,9,1,15,1:28.761,1:49.953,
9610,9668,1099,852,213,22,16,1:29.939,,
9611,9669,1099,848,3,23,17,1:29.994,,
9612,9670,1099,856,213,21,18,1:30.244,,
9613,9671,1099,846,1,4,19,1:30.447,,
9614,9672,1099,858,3,2,20,2:08.510,,
9615,9673,1100,830,9,1,1,1:17.384,1:17.056,1:16.732
9616,9674,1100,847,131,63,2,1:17.654,1:17.513,1:16.968
9617,9675,1100,1,131,44,3,1:17.689,1:17.551,1:17.104
9618,9676,1100,4,117,14,4,1:17.832,1:17.283,1:17.139
9619,9677,1100,832,6,55,5,1:17.928,1:17.349,1:17.270
9620,9678,1100,840,117,18,6,1:17.873,1:17.616,1:17.308
9621,9679,1100,844,6,16,7,1:18.218,1:17.390,1:17.369
9622,9680,1100,848,3,23,8,1:17.962,1:17.761,1:17.609
9623,9681,1100,842,214,10,9,1:18.312,1:17.574,1:17.675
9624,9682,1100,807,210,27,10,1:18.029,1:17.412,1:17.735
9625,9683,1100,839,214,31,11,1:17.770,1:17.768,
9626,9684,1100,852,213,22,12,1:18.471,1:18.099,
9627,9685,1100,846,1,4,13,1:18.243,1:18.119,
9628,9686,1100,825,210,20,14,1:18.159,1:18.129,
9629,9687,1100,856,213,21,15,1:18.450,1:18.335,
9630,9688,1100,857,1,81,16,1:18.517,,
9631,9689,1100,855,51,24,17,1:18.540,,
9632,9690,1100,858,3,2,18,1:18.557,,
9633,9691,1100,822,51,77,19,1:18.714,,
9634,9692,1100,815,9,11,20,\N,\N,\N
9635,9693,1101,844,6,16,1,1:41.269,1:41.037,1:40.203
9636,9694,1101,830,9,1,2,1:41.398,1:40.822,1:40.391
9637,9695,1101,815,9,11,3,1:41.756,1:41.131,1:40.495
9638,9696,1101,832,6,55,4,1:42.197,1:41.369,1:41.016
9639,9697,1101,1,131,44,5,1:42.113,1:41.650,1:41.177
9640,9698,1101,4,117,14,6,1:41.720,1:41.370,1:41.253
9641,9699,1101,846,1,4,7,1:42.154,1:41.485,1:41.281
9642,9700,1101,852,213,22,8,1:42.234,1:41.569,1:41.581
9643,9701,1101,840,117,18,9,1:42.524,1:41.576,1:41.611
9644,9702,1101,857,1,81,10,1:42.455,1:41.636,1:41.611
9645,9703,1101,847,131,63,11,1:42.073,1:41.654,
9646,9704,1101,839,214,31,12,1:42.622,1:41.798,
9647,9705,1101,848,3,23,13,1:42.171,1:41.818,
9648,9706,1101,822,51,77,14,1:42.582,1:42.259,
9649,9707,1101,858,3,2,15,1:42.242,1:42.395,
9650,9708,1101,855,51,24,16,1:42.642,,
9651,9709,1101,807,210,27,17,1:42.755,,
9652,9710,1101,825,210,20,18,1:43.417,,
9653,9711,1101,842,214,10,19,1:44.853,,
9654,9712,1101,856,213,21,20,\N,\N,\N
9655,9713,1102,815,9,11,1,1:27.713,1:27.328,1:26.841
9656,9714,1102,4,117,14,2,1:28.179,1:27.097,1:27.202
9657,9715,1102,832,6,55,3,1:27.686,1:27.148,1:27.349
9658,9716,1102,825,210,20,4,1:27.809,1:27.673,1:27.767
9659,9717,1102,842,214,10,5,1:28.061,1:27.612,1:27.786
9660,9718,1102,847,131,63,6,1:28.086,1:27.743,1:27.804
9661,9719,1102,844,6,16,7,1:27.713,1:26.964,1:27.861
9662,9720,1102,839,214,31,8,1:27.872,1:27.444,1:27.935
9663,9721,1102,830,9,1,9,1:27.363,1:26.814,\N
9664,9722,1102,822,51,77,10,1:27.864,1:27.564,\N
9665,9723,1102,848,3,23,11,1:28.234,1:27.795,\N
9666,9724,1102,807,210,27,12,1:27.945,1:27.903,\N
9667,9725,1102,1,131,44,13,1:27.846,1:27.975,\N
9668,9726,1102,855,51,24,14,1:28.180,1:28.091,\N
9669,9727,1102,856,213,21,15,1:28.325,1:28.395,\N
9670,9728,1102,846,1,4,16,1:28.394,\N,\N
9671,9729,1102,852,213,22,17,1:28.429,\N,\N
9672,9730,1102,840,117,18,18,1:28.476,\N,\N
9673,9731,1102,857,1,81,19,1:28.484,\N,\N
9674,9732,1102,858,3,2,20,1:28.577,\N,\N
9675,9733,1104,830,9,1,1,1:12.386,1:11.908,1:11.365
9676,9734,1104,4,117,14,2,1:12.886,1:12.107,1:11.449
9677,9735,1104,844,6,16,3,1:12.912,1:12.103,1:11.471
9678,9736,1104,839,214,31,4,1:12.967,1:12.248,1:11.553
9679,9737,1104,832,6,55,5,1:12.717,1:12.210,1:11.630
9680,9738,1104,1,131,44,6,1:12.872,1:12.156,1:11.725
9681,9739,1104,842,214,10,7,1:13.033,1:12.169,1:11.933
9682,9740,1104,847,131,63,8,1:12.769,1:12.151,1:11.964
9683,9741,1104,852,213,22,9,1:12.642,1:12.249,1:12.082
9684,9742,1104,846,1,4,10,1:12.877,1:12.377,1:12.254
9685,9743,1104,857,1,81,11,1:13.006,1:12.395,\N
9686,9744,1104,856,213,21,12,1:13.054,1:12.428,\N
9687,9745,1104,848,3,23,13,1:12.706,1:12.527,\N
9688,9746,1104,840,117,18,14,1:12.722,1:12.623,\N
9689,9747,1104,822,51,77,15,1:13.038,1:12.625,\N
9690,9748,1104,858,3,2,16,1:13.113,\N,\N
9691,9749,1104,825,210,20,17,1:13.270,\N,\N
9692,9750,1104,807,210,27,18,1:13.279,\N,\N
9693,9751,1104,855,51,24,19,1:13.523,\N,\N
9694,9752,1104,815,9,11,20,1:13.850,\N,\N
9695,9753,1105,830,9,1,1,1:13.615,1:12.760,1:12.272
9696,9754,1105,832,6,55,2,1:13.411,1:12.790,1:12.734
9697,9755,1105,846,1,4,3,1:13.295,1:12.776,1:12.792
9698,9756,1105,842,214,10,4,1:13.471,1:13.186,1:12.816
9699,9757,1105,1,131,44,5,1:12.937,1:12.999,1:12.818
9700,9758,1105,840,117,18,6,1:13.766,1:13.082,1:12.994
9701,9759,1105,839,214,31,7,1:13.433,1:13.001,1:13.083
9702,9760,1105,807,210,27,8,1:13.420,1:13.283,1:13.229
9703,9761,1105,4,117,14,9,1:13.747,1:13.098,1:13.507
9704,9762,1105,857,1,81,10,1:13.691,1:13.059,1:13.682
9705,9763,1105,815,9,11,11,1:13.874,1:13.334,\N
9706,9764,1105,847,131,63,12,1:13.326,1:13.447,\N
9707,9765,1105,855,51,24,13,1:13.677,1:13.521,\N
9708,9766,1105,856,213,21,14,1:13.581,1:14.083,\N
9709,9767,1105,852,213,22,15,1:13.862,1:14.477,\N
9710,9768,1105,822,51,77,16,1:13.977,\N,\N
9711,9769,1105,825,210,20,17,1:14.042,\N,\N
9712,9770,1105,848,3,23,18,1:14.063,\N,\N
9713,9771,1105,844,6,16,19,1:14.079,\N,\N
9714,9772,1105,858,3,2,20,1:14.699,\N,\N
9715,9773,1106,830,9,1,1,1:20.851,1:19.092,1:25.858
9716,9774,1106,807,210,27,2,1:22.730,1:20.305,1:27.102
9717,9775,1106,4,117,14,3,1:21.481,1:19.776,1:27.286
9718,9776,1106,1,131,44,4,1:21.554,1:20.426,1:27.627
9719,9777,1106,847,131,63,5,1:21.798,1:20.098,1:27.893
9720,9778,1106,839,214,31,6,1:22.114,1:20.406,1:27.945
9721,9779,1106,846,1,4,7,1:21.998,1:19.347,1:28.046
9722,9780,1106,832,6,55,8,1:22.248,1:19.856,1:29.294
9723,9781,1106,857,1,81,9,1:22.190,1:19.659,1:31.349
9724,9782,1106,848,3,23,10,1:21.938,1:18.725,\N
9725,9783,1106,844,6,16,11,1:21.843,1:20.615,\N
9726,9784,1106,815,9,11,12,1:22.151,1:20.959,\N
9727,9785,1106,840,117,18,13,1:22.677,1:21.484,\N
9728,9786,1106,825,210,20,14,1:22.351,1:21.678,\N
9729,9787,1106,822,51,77,15,1:22.332,1:21.821,\N
9730,9788,1106,852,213,22,16,1:22.746,\N,\N
9731,9789,1106,842,214,10,17,1:22.886,\N,\N
9732,9790,1106,856,213,21,18,1:23.137,\N,\N
9733,9791,1106,858,3,2,19,1:23.337,\N,\N
9734,9792,1106,855,51,24,20,1:23.342,\N,\N
9735,9793,1107,830,9,1,1,1:05.116,1:04.951,1:04.391
9736,9794,1107,844,6,16,2,1:05.577,1:05.087,1:04.439
9737,9795,1107,832,6,55,3,1:05.339,1:04.975,1:04.581
9738,9796,1107,846,1,4,4,1:05.617,1:05.038,1:04.658
9739,9797,1107,1,131,44,5,1:05.673,1:05.188,1:04.819
9740,9798,1107,840,117,18,6,1:05.710,1:05.121,1:04.893
9741,9799,1107,4,117,14,7,1:05.655,1:05.181,1:04.911
9742,9800,1107,807,210,27,8,1:05.740,1:05.362,1:05.090
9743,9801,1107,842,214,10,9,1:05.515,1:05.308,1:05.170
9744,9802,1107,848,3,23,10,1:05.673,1:05.387,1:05.823
9745,9803,1107,847,131,63,11,1:05.686,1:05.428,\N
9746,9804,1107,839,214,31,12,1:05.729,1:05.453,\N
9747,9805,1107,857,1,81,13,1:05.683,1:05.605,\N
9748,9806,1107,822,51,77,14,1:05.763,1:05.680,\N
9749,9807,1107,815,9,11,15,1:05.177,2:06.688,\N
9750,9808,1107,852,213,22,16,1:05.784,\N,\N
9751,9809,1107,855,51,24,17,1:05.818,\N,\N
9752,9810,1107,858,3,2,18,1:05.948,\N,\N
9753,9811,1107,825,210,20,19,1:05.971,\N,\N
9754,9812,1107,856,213,21,20,1:05.974,\N,\N
9755,9813,1108,830,9,1,1,1:29.428,1:27.702,1:26.720
9756,9814,1108,846,1,4,2,1:28.917,1:28.042,1:26.961
9757,9815,1108,857,1,81,3,1:29.874,1:27.845,1:27.092
9758,9816,1108,844,6,16,4,1:29.143,1:28.361,1:27.136
9759,9817,1108,832,6,55,5,1:29.865,1:28.265,1:27.148
9760,9818,1108,847,131,63,6,1:29.412,1:28.782,1:27.155
9761,9819,1108,1,131,44,7,1:29.415,1:28.545,1:27.211
9762,9820,1108,848,3,23,8,1:29.466,1:28.067,1:27.530
9763,9821,1108,4,117,14,9,1:29.949,1:28.368,1:27.659
9764,9822,1108,842,214,10,10,1:29.533,1:28.751,1:27.689
9765,9823,1108,807,210,27,11,1:29.603,1:28.896,\N
9766,9824,1108,840,117,18,12,1:29.448,1:28.935,\N
9767,9825,1108,839,214,31,13,1:29.700,1:28.956,\N
9768,9826,1108,858,3,2,14,1:29.873,1:29.031,\N
9769,9827,1108,822,51,77,15,1:29.798,\N,\N
9770,9828,1108,815,9,11,16,1:29.968,\N,\N
9771,9829,1108,852,213,22,17,1:30.025,\N,\N
9772,9830,1108,855,51,24,18,1:30.123,\N,\N
9773,9831,1108,856,213,21,19,1:30.513,\N,\N
9774,9832,1108,825,210,20,20,1:32.378,\N,\N
9775,9833,1109,1,131,44,1,1:18.577,1:17.427,1:16.609
9776,9834,1109,830,9,1,2,1:18.318,1:17.547,1:16.612
9777,9835,1109,846,1,4,3,1:18.697,1:17.328,1:16.694
9778,9836,1109,857,1,81,4,1:18.464,1:17.571,1:16.905
9779,9837,1109,855,51,24,5,1:18.143,1:17.700,1:16.971
9780,9838,1109,844,6,16,6,1:18.440,1:17.580,1:16.992
9781,9839,1109,822,51,77,7,1:18.775,1:17.563,1:17.034
9782,9840,1109,4,117,14,8,1:18.580,1:17.701,1:17.035
9783,9841,1109,815,9,11,9,1:18.360,1:17.675,1:17.045
9784,9842,1109,807,210,27,10,1:18.695,1:17.652,1:17.186
9785,9843,1109,832,6,55,11,1:18.393,1:17.703,\N
9786,9844,1109,839,214,31,12,1:18.854,1:17.841,\N
9787,9845,1109,817,213,3,13,1:18.906,1:18.002,\N
9788,9846,1109,840,117,18,14,1:18.782,1:18.144,\N
9789,9847,1109,842,214,10,15,1:18.743,1:18.217,\N
9790,9848,1109,848,3,23,16,1:18.917,\N,\N
9791,9849,1109,852,213,22,17,1:18.919,\N,\N
9792,9850,1109,847,131,63,18,1:19.027,\N,\N
9793,9851,1109,825,210,20,19,1:19.206,\N,\N
9794,9852,1109,858,3,2,20,1:19.248,\N,\N
9795,9853,1110,830,9,1,1,1:58.515,1:52.784,1:46.168
9796,9854,1110,844,6,16,2,1:58.300,1:52.017,1:46.988
9797,9855,1110,815,9,11,3,1:58.899,1:52.353,1:47.045
9798,9856,1110,1,131,44,4,1:58.563,1:52.345,1:47.087
9799,9857,1110,832,6,55,5,1:58.688,1:51.711,1:47.152
9800,9858,1110,857,1,81,6,1:58.872,1:51.534,1:47.365
9801,9859,1110,846,1,4,7,1:59.981,1:52.252,1:47.669
9802,9860,1110,847,131,63,8,1:59.035,1:52.605,1:47.805
9803,9861,1110,4,117,14,9,1:58.834,1:52.751,1:47.843
9804,9862,1110,840,117,18,10,1:59.663,1:52.193,1:48.841
9805,9863,1110,852,213,22,11,1:59.044,1:53.148,\N
9806,9864,1110,842,214,10,12,1:59.511,1:53.671,\N
9807,9865,1110,825,210,20,13,2:00.020,1:54.160,\N
9808,9866,1110,822,51,77,14,1:59.484,1:54.694,\N
9809,9867,1110,839,214,31,15,1:59.634,1:56.372,\N
9810,9868,1110,848,3,23,16,2:00.314,\N,\N
9811,9869,1110,855,51,24,17,2:00.832,\N,\N
9812,9870,1110,858,3,2,18,2:01.535,\N,\N
9813,9871,1110,817,213,3,19,2:02.159,\N,\N
9814,9872,1110,807,210,27,20,2:03.166,\N,\N
