,driverStandingsId,raceId,driverId,points,position,positionText,wins
34079,72143,1108,839,31.0,10,10,0
34080,72144,1108,844,74.0,7,7,0
34081,72145,1108,857,17.0,11,11,0
34082,72146,1109,830,281.0,1,1,9
34083,72147,1109,815,171.0,2,2,2
34084,72148,1109,4,139.0,3,3,0
34085,72149,1109,832,87.0,6,6,0
34086,72150,1109,1,133.0,4,4,0
34087,72151,1109,840,45.0,9,9,0
34088,72152,1109,847,90.0,5,5,0
34089,72153,1109,822,5.0,15,15,0
34090,72154,1109,842,16.0,12,12,0
34091,72155,1109,848,11.0,13,13,0
34092,72156,1109,852,2.0,17,17,0
34093,72157,1109,858,0.0,19,19,0
34094,72158,1109,825,2.0,18,18,0
34095,72159,1109,856,0.0,20,20,0
34096,72160,1109,807,9.0,14,14,0
34097,72161,1109,855,4.0,16,16,0
34098,72162,1109,846,60.0,8,8,0
34099,72163,1109,839,31.0,10,10,0
34100,72164,1109,844,80.0,7,7,0
34101,72165,1109,857,27.0,11,11,0
34102,72166,1109,817,0.0,21,21,0
34103,72167,1110,830,314.0,1,1,10
34104,72168,1110,815,189.0,2,2,2
34105,72169,1110,4,149.0,3,3,0
34106,72170,1110,832,92.0,7,7,0
34107,72171,1110,1,148.0,4,4,0
34108,72172,1110,840,47.0,9,9,0
34109,72173,1110,847,99.0,6,6,0
34110,72174,1110,822,5.0,15,15,0
34111,72175,1110,842,22.0,12,12,0
34112,72176,1110,848,11.0,13,13,0
34113,72177,1110,852,3.0,17,17,0
34114,72178,1110,858,0.0,19,19,0
34115,72179,1110,825,2.0,18,18,0
34116,72180,1110,856,0.0,20,20,0
34117,72181,1110,807,9.0,14,14,0
34118,72182,1110,855,4.0,16,16,0
34119,72183,1110,846,69.0,8,8,0
34120,72184,1110,839,35.0,10,10,0
34121,72185,1110,844,99.0,5,5,0
34122,72186,1110,857,34.0,11,11,0
34123,72187,1110,817,0.0,21,21,0
